matchId,slug,playerid,overs,balls,maidens,conceded,wickets,economy,runsPerBall,dots,fours,sixes,wides,noballs
1359486,kumar-kartikeya,1159843,4,24,0,24,1,6,1,6,0,1,0,0
1359486,hrithik-shokeen,1175423,2,12,0,19,0,9.5,1.58,4,2,1,0,0
1359487,umesh-yadav,376116,3,18,0,24,0,8,1.33,7,4,0,1,0
1359487,shardul-thakur,475281,3,18,0,40,0,13.33,2.22,4,3,3,1,0
1359487,lockie-ferguson,493773,4,24,0,40,0,10,1.66,8,3,2,1,1
1359487,sunil-narine,230558,4,24,0,33,3,8.25,1.37,8,3,1,1,0
1359487,varun-chakravarthy,1108375,2,12,0,27,0,13.5,2.25,1,2,1,1,0
1359487,suyash-sharma,1350792,4,24,0,35,1,8.75,1.45,6,3,0,1,0
1359487,mohammed-shami,481896,4,24,0,28,1,7,1.16,10,2,1,0,0
1359487,josh-little,928067,4,24,0,45,1,11.25,1.87,9,4,3,3,0
1359487,alzarri-joseph,670031,4,24,0,27,2,6.75,1.12,14,2,2,0,0
1359487,yash-dayal,1159720,4,24,0,69,0,17.25,2.87,4,3,8,0,0
1359487,rashid-khan,793463,4,24,0,37,3,9.25,1.54,6,4,1,0,0
1359488,bhuvneshwar-kumar,326016,4,24,0,33,1,8.25,1.37,13,6,0,3,0
1359488,marco-jansen,696401,3,18,1,16,2,5.33,0.88,14,2,1,1,0
1359488,t-natarajan,802575,4,24,0,40,0,10,1.66,10,3,3,0,0
1359488,washington-sundar,719715,1,6,0,6,0,6,1,3,1,0,0,0
1359488,mayank-markande,1081442,4,24,0,15,4,3.75,0.62,15,2,0,0,0
1359488,umran-malik,1246528,4,24,0,32,2,8,1.33,14,3,2,1,0
1359488,sam-curran,662973,3,18,0,14,0,4.66,0.77,8,1,0,0,0
1359488,arshdeep-singh,1125976,3,18,0,20,1,6.66,1.11,10,4,0,0,0
1359488,harpreet-brar,1168641,3.1,19,0,26,0,8.21,1.36,8,5,0,0,0
1359488,nathan-ellis,826915,3,18,0,28,0,9.33,1.55,5,5,0,0,0
1359488,rahul-chahar,1064812,3,18,0,28,1,9.33,1.55,8,4,1,0,0
1359488,mohit-rathee,1349361,2,12,0,29,0,14.5,2.41,3,3,2,0,0
1359489,jaydev-unadkat,390484,2,12,0,27,0,13.5,2.25,3,2,2,1,0
1359489,avesh-khan,694211,4,24,0,53,0,13.25,2.2,8,5,4,0,0
